seq_id,user_id,length,result_type,first_bad_step,score,visited_nodes,time_ms
0,1003499,68,Hard_OOD,2,5.973810,3,3.054
1,1003505,31,Hard_OOD,2,5.280662,3,0.009
2,1003509,193,Hard_OOD,3,5.973810,4,0.009
3,1003510,200,Hard_OOD,5,6.666957,6,0.013
4,1003512,49,Hard_OOD,15,6.666957,16,0.025
5,1003514,30,Hard_OOD,20,6.666957,21,0.019
6,1003519,148,Hard_OOD,3,0.959847,4,0.002
7,1003531,71,Hard_OOD,5,6.666957,6,0.008
8,1003550,200,Hard_OOD,2,6.666957,3,0.004
9,1003553,65,Hard_OOD,15,2.284930,16,0.006
10,1003556,12,Hard_OOD,3,6.666957,4,0.002
11,1003557,200,Hard_OOD,1,3.833743,2,0.001
12,1003559,182,Hard_OOD,2,6.666957,3,0.009
13,1003561,118,Hard_OOD,2,5.973810,3,0.004
14,1003562,95,Hard_OOD,2,6.666957,3,0.002
15,1003571,51,Hard_OOD,16,5.973810,17,0.018
16,1003581,18,Hard_OOD,1,3.201221,2,0.001
17,1003584,8,Hard_OOD,2,4.875197,3,0.002
18,1003586,94,Hard_OOD,23,6.666957,24,0.009
19,1003589,136,Hard_OOD,8,5.973810,9,0.007
20,1003597,10,ID,-1,1.754302,11,0.012
21,1003598,44,Hard_OOD,18,5.973810,19,0.012
22,1003610,98,Hard_OOD,25,3.111609,26,0.010
23,1003611,200,Hard_OOD,15,2.284930,16,0.006
24,1003612,123,Hard_OOD,9,5.057519,10,0.009
25,1003613,167,Hard_OOD,5,6.666957,6,0.010
26,1003621,36,Hard_OOD,4,6.666957,5,0.006
27,1003627,13,Hard_OOD,12,5.973810,13,0.006
28,1003628,200,Hard_OOD,1,3.371120,2,0.001
29,1003629,85,Hard_OOD,14,6.666957,15,0.014
30,1003633,15,Hard_OOD,3,5.973810,4,0.002
31,1003643,185,Hard_OOD,2,5.568345,3,0.005
32,1003646,18,Hard_OOD,3,6.666957,4,0.002
33,1003653,60,Hard_OOD,1,3.371120,2,0.001
34,1003656,61,Hard_OOD,12,5.568345,13,0.005
35,1003661,79,Hard_OOD,5,1.250856,6,0.003
36,1003664,36,Hard_OOD,3,5.568345,4,0.002
37,1003685,33,Hard_OOD,5,4.875197,6,0.003
38,1003693,35,Hard_OOD,8,5.973810,9,0.004
39,1003703,45,Hard_OOD,10,6.666957,11,0.005
40,1003707,200,Hard_OOD,10,5.973810,11,0.012
41,1003710,51,Hard_OOD,5,6.666957,6,0.020
42,1003711,168,Hard_OOD,3,5.057519,4,0.002
43,1003713,43,Hard_OOD,8,5.973810,9,0.009
44,1003714,71,Hard_OOD,7,6.666957,8,0.006
45,1003716,200,Hard_OOD,14,6.666957,15,0.012
46,1003724,142,Hard_OOD,5,6.666957,6,0.009
47,1003725,7,Hard_OOD,6,5.280662,7,0.003
48,1003733,26,Hard_OOD,18,5.973810,19,0.007
49,1003740,126,Hard_OOD,1,3.531463,2,0.001
50,1003743,134,Hard_OOD,15,2.284930,16,0.007
51,1003748,54,Hard_OOD,5,6.666957,6,0.003
52,1003752,18,Hard_OOD,5,1.250856,6,0.004
53,1003756,200,Hard_OOD,4,6.666957,5,0.003
54,1003757,26,Hard_OOD,6,6.666957,7,0.003
55,1003759,28,Hard_OOD,8,4.721047,9,0.004
56,1003761,70,Hard_OOD,3,5.057519,4,0.002
57,1003766,200,Hard_OOD,7,5.280662,8,0.003
58,1003767,8,Hard_OOD,1,3.622434,2,0.001
59,1003775,72,Hard_OOD,4,4.182050,5,0.002
60,1003781,128,Hard_OOD,2,5.568345,3,0.001
61,1003782,48,Hard_OOD,2,6.666957,3,0.005
62,1003792,44,Hard_OOD,9,1.656321,10,0.004
63,1003799,29,Hard_OOD,5,6.666957,6,0.002
